Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-07-14 06:30:00+00:00,122113.5625,122396.9921875,122104.4453125,122396.9921875,1739169792
2025-07-14 06:45:00+00:00,122091.015625,122144.2890625,122091.015625,122134.78125,2045280256
2025-07-14 07:00:00+00:00,122302.5703125,122372.2578125,122085.84375,122085.84375,1615462400
2025-07-14 07:15:00+00:00,122358.859375,122401.8984375,122242.1875,122251.5859375,2653061120
2025-07-14 07:30:00+00:00,122940.1796875,123077.6328125,122338.0390625,122338.0390625,1216987136
2025-07-14 07:45:00+00:00,122776.2734375,122915.671875,122757.421875,122884.4921875,2512969728
2025-07-14 08:00:00+00:00,122398.09375,122720.3359375,122392.3125,122720.3359375,108118016
2025-07-14 08:15:00+00:00,122385.984375,122456.8515625,122311.7890625,122396.34375,2275328000
2025-07-14 08:30:00+00:00,122607.3671875,122612.3515625,122392.6171875,122392.6171875,1645748224
2025-07-14 08:45:00+00:00,122566.4453125,122662.34375,122545.078125,122652.8515625,1063329792
2025-07-14 09:00:00+00:00,122317.6015625,122575.7890625,122317.6015625,122575.7890625,71671808
2025-07-14 09:15:00+00:00,122014.5078125,122254.390625,122014.5078125,122249.796875,1306640384
2025-07-14 09:30:00+00:00,122008.4375,122142.4921875,121933.25,121966.8125,1106493440
2025-07-14 09:45:00+00:00,121969.546875,122104.875,121948.9453125,122067.3046875,253255680
2025-07-14 10:00:00+00:00,121794.2578125,121972.7734375,121671.1171875,121972.7734375,1390845952
2025-07-14 10:15:00+00:00,121931.234375,121947.4375,121762.953125,121797.2890625,1539457024
2025-07-14 10:30:00+00:00,122043.703125,122085.9609375,121908.375,121943.359375,1020329984
2025-07-14 10:45:00+00:00,121918.609375,122052.03125,121918.609375,122035.640625,1205174272
2025-07-14 11:00:00+00:00,121741.0859375,121922.0,121741.0859375,121922.0,1100349440
2025-07-14 11:15:00+00:00,121415.5,121694.15625,121413.0703125,121694.15625,275062784
2025-07-14 11:30:00+00:00,121513.9296875,121617.1328125,121354.9921875,121505.9140625,1497915392
2025-07-14 11:45:00+00:00,121487.484375,121615.8359375,121471.5,121585.109375,227524608
2025-07-14 12:00:00+00:00,121812.0,121812.0,121405.8515625,121470.875,2655887360
2025-07-14 12:15:00+00:00,121740.84375,121832.4609375,121716.84375,121804.234375,1393745920
2025-07-14 12:30:00+00:00,121687.1796875,121793.0703125,121687.1796875,121746.9765625,1191198720
2025-07-14 12:45:00+00:00,121863.0,121872.234375,121814.84375,121855.5625,894345216
2025-07-14 13:00:00+00:00,121874.375,121907.328125,121824.8984375,121900.03125,1066778624
2025-07-14 13:15:00+00:00,121734.28125,121866.3515625,121614.3046875,121866.3515625,538689536
